#,"¿Estas de acuerdo en participar en nuestro estudio? 
",¿Cuál es tu rango de edad?,¿Con qué género te identificas? ,¿Cuál es tu situación laboral?,Other,¿A qué sector pertenece tu empresa?,¿A qué nivel de responsabilidad corresponde tu puesto de trabajo? ,¿Cuál es tu cargo actual?,¿Cuál es el género predominante en tu entorno laboral? ,¿Cómo de feliz te sientes en tu trabajo?,¿Cómo calificarías tu rendimiento actual en el trabajo?,"¿Crees que alguna vez has sufrido problemas de salud mental (depresión, ansiedad, _burnout\*_) debido a causas profesionales?","¿Has sido diagnosticado/a alguna vez con problemas de salud mental (depresión, ansiedad, _burnout\*_) debido a causas profesionales?","¿Has tenido que coger una baja laboral por problemas de salud mental (depresión, ansiedad, _burnout\*_) debido a causas profesionales?",¿Has experimentado burnout\* *en tu cargo actual*? ,No aplica,Estilo de dirección inadecuado,Cultura organizacional tóxica,Estructura de la organización muy jerarquizada y rígida,Exceso de trabajo y/o responsabilidad,Carga emocional excesiva (tratando con personas),Nuevas metodologías de trabajo a consecuencia de COVID-19,Inestabilidad laboral,Falta de recursos y/o apoyo,Falta de coordinación y comunicación en la organización,"Falta de refuerzo positivo, recompensa o desarrollo profesional",Relaciones personales difíciles y/o conflictivas,Poca autonomía y flexibilidad,Ninguno,Atención psicológica,"Aplicaciones móviles (e.g. Headspace, Calm)",Apoyo social,Deporte,Meditación,Other,¿Te gustaría recibir apoyo psicológico o _coaching_ en tu empresa?,Response Type,Start Date (UTC),Submit Date (UTC),Network ID,Tags
w6ymyxzfkwzap04jkt9w6ymypx20c6by,DOY MI CONSENTIMIENTO para participar en este estudio,Menos de 20 años,Femenino,En búsqueda activa de trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2024-01-03 02:42:09,2024-01-03 02:42:38,dad315dd0f,
e6vmvvu7r3qox13c3r1e6vmvvp5i09zl,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 31 y 40 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Tecnologías de la información y las comunicaciones,Responsabilidad alta,Project manager,La distribución de género está balanceada,3,5,Sí,Sí,Nunca,Sí,,Estilo de dirección inadecuado,Cultura organizacional tóxica,,Exceso de trabajo y/o responsabilidad,Carga emocional excesiva (tratando con personas),,Inestabilidad laboral,Falta de recursos y/o apoyo,Falta de coordinación y comunicación en la organización,"Falta de refuerzo positivo, recompensa o desarrollo profesional",Relaciones personales difíciles y/o conflictivas,Poca autonomía y flexibilidad,Ninguno,,,,,,,No,completed,2024-01-02 04:07:53,2024-01-02 04:11:48,1e61c37ee4,
pegh5gdqasl1wr0mtpq78xpegh5gfp5d,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 51 y 60 años,Masculino,Trabajo por cuenta ajena a tiempo completo,,Otro sector,Responsabilidad alta,f,Mayoría mujeres,4,4,Sí,No,Nunca,Sí,,Estilo de dirección inadecuado,,,,,,,,,,,,,,"Aplicaciones móviles (e.g. Headspace, Calm)",,,,,Sí,completed,2023-12-29 20:54:46,2023-12-29 20:59:16,d9aff389be,
abkxzvr4mjo6b0zzzabkxztbzl377d90,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,En búsqueda activa de trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2023-12-25 00:17:56,2023-12-25 00:19:12,65a97fbbc2,
3ayqomfw6bub4851hrg3ayqmrsf3pdbz,DOY MI CONSENTIMIENTO para participar en este estudio,Menos de 20 años,Género no binario,En búsqueda activa de trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2023-12-15 18:15:19,2023-12-15 18:15:49,251e361667,
cf3xms8cbvrr06cf3x4m2to93kvovjxa,DOY MI CONSENTIMIENTO para participar en este estudio,Menos de 20 años,Prefiero no contestar,Actualmente no trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,completed,2023-12-15 18:13:50,2023-12-15 18:15:01,251e361667,
zs0gduolomm1ugw0mgf1zzs0gngxj5ji,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Otro sector,Responsabilidad baja,Empleada de casa,Mayoría hombres,3,3,No,No,Nunca,Sí,,,,,Exceso de trabajo y/o responsabilidad,Carga emocional excesiva (tratando con personas),,Inestabilidad laboral,,,,Relaciones personales difíciles y/o conflictivas,,Ninguno,,,,,,,Sí,completed,2023-12-11 04:49:07,2023-12-11 04:54:38,37d8fe7cab,
y1y976vqb4kwrygpy1y9764ckm987acs,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Otro sector,Responsabilidad media,Técnico en la gestión de parques y jardines,Mayoría hombres,4,4,No,No,Nunca,No,No aplica,,,,,,,,,,,,,,,,Apoyo social,,,,Sí,completed,2023-12-07 16:21:54,2023-12-07 16:25:28,1d47d1a454,
nj2ao35kkpngjrjvimhrnj2ao35ww02q,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Masculino,Trabajo por cuenta ajena a tiempo parcial,,Otro sector,Responsabilidad alta,Camarero,Mayoría hombres,2,4,Sí,No,Nunca,Sí,No aplica,,,,,,,,,,,,,,,,,,,Drogas,No,completed,2023-11-28 21:34:37,2023-11-28 21:37:30,76b1a34a5b,
ocdivexft9gq02qpocdidwfbgr8tdcbi,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Otro sector,Responsabilidad media,Técnica de recursos humanos,Mayoría hombres,2,3,Sí,Sí,Prefiero no contestar,Sí,,Estilo de dirección inadecuado,Cultura organizacional tóxica,Estructura de la organización muy jerarquizada y rígida,,Carga emocional excesiva (tratando con personas),,,,,"Falta de refuerzo positivo, recompensa o desarrollo profesional",,Poca autonomía y flexibilidad,,,,,Deporte,,,Sí,completed,2023-11-26 20:38:13,2023-11-26 20:40:09,f4d98cdf9b,
tth50j0rihpm2tf8tth5raxxkdnbura2,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Masculino,Trabajo por cuenta ajena a tiempo completo,,Función publica y Gobierno,Responsabilidad baja,Administración,Mayoría mujeres,4,4,No,No,Una vez en mi vida laboral,No,,,,,,,,Inestabilidad laboral,,,,,,,Atención psicológica,,,Deporte,Meditación,,Sí,completed,2023-11-26 08:37:25,2023-11-26 08:39:38,bd8642e2cd,
5atwszblxb5tm01s95atwszblm6i5022,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo parcial,,Otro sector,Responsabilidad media,Encargada de sala y barra,Mayoría mujeres,1,5,Sí,Sí,Nunca,Sí,,Estilo de dirección inadecuado,,,Exceso de trabajo y/o responsabilidad,,,,,,,,,,,,Apoyo social,,,,Sí,completed,2023-11-17 23:19:23,2023-11-17 23:21:49,bcc41d3662,
zxm9fcafscm8t8hcrufrzxm9faddyxlr,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Otro sector,Responsabilidad baja,Programadora,Mayoría hombres,3,3,Sí,Prefiero no contestar,Una vez en mi vida laboral,Sí,,Estilo de dirección inadecuado,,,Exceso de trabajo y/o responsabilidad,,,,,Falta de coordinación y comunicación en la organización,"Falta de refuerzo positivo, recompensa o desarrollo profesional",,,Ninguno,,,,,,,Sí,completed,2023-11-12 01:02:16,2023-11-12 01:05:36,17948ab4ad,
yf3i763wqvmd0yt4vyf3i77z53y4zymf,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Femenino,Trabajo por cuenta ajena a tiempo completo,,Educación,Responsabilidad media,PM,Mayoría hombres,4,5,Sí,No,Más de una vez,Sí,,,,,Exceso de trabajo y/o responsabilidad,,,,,,,,,,,,,Deporte,,,Sí,completed,2023-10-31 09:21:44,2023-10-31 09:25:28,43621352e3,
fkt4wnbmhzcx996tafkt4fv8jc6hih8u,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 21 y 30 años,Masculino,Trabajo por cuenta ajena a tiempo completo,,Tecnologías de la información y las comunicaciones,Responsabilidad baja,Ingeniero de datos,Mayoría hombres,3,3,Sí,No,Nunca,No lo sé,No aplica,,,,,,,,,,,,,,Atención psicológica,,Apoyo social,Deporte,Meditación,,Sí,completed,2023-10-16 10:26:40,2023-10-16 10:30:04,00fdf52955,
f5eoxzq9lusxn87ow0gef5eoxpco0her,DOY MI CONSENTIMIENTO para participar en este estudio,Entre 51 y 60 años,Masculino,Trabajo por cuenta ajena a tiempo completo,,Educación,Responsabilidad baja,"Cumplimiento de objetivos, que no he marcado yo, que me vienen impuestos. En continuo, veo la imposibilidad de cumplirlos",La distribución de género está balanceada,4,4,No,Sí,Nunca,No,,Estilo de dirección inadecuado,,Estructura de la organización muy jerarquizada y rígida,Exceso de trabajo y/o responsabilidad,,,,Falta de recursos y/o apoyo,Falta de coordinación y comunicación en la organización,"Falta de refuerzo positivo, recompensa o desarrollo profesional",,Poca autonomía y flexibilidad,,,,,Deporte,Meditación,,No,completed,2023-09-19 07:06:14,2023-09-19 07:08:50,49c46cbdb5,
